11	15	37	25	48	27	13	 0	23
34	46	10	32	17	 9	30	43	43
 8	30	33	23	23	46	44	42	13
 4	13	27	17	26	40	46	13	41
36	44	48	 1	43	 2	32	46	 7
21	31	17	18	22	37	33	22	32
35	40	49	 6	31	13	19	17	44
27	45	13	26	32	23	20	49	 0
12	47	 0	 3	 1	44	42	20	34
38	22	11	 5	 5	14	 7	11	 2
24	 3	32	48	13	21	41	21	46
47	28	21	22	46	22	 8	 3	22
14	49	44	20	18	 3	49	10	20
10	21	 4	27	30	31	35	19	14
 6	42	22	44	37	43	43	41	16
41	32	26	30	10	 8	22	 5	29
18	26	38	10	19	19	31	15	35
39	 1	20	 4	28	33	26	33	26
 7	 6	16	13	44	32	45	44	 9
37	18	 2	11	33	 4	 1	48	 1
 9	 8	39	12	40	16	36	38	30
40	36	31	45	20	25	 5	25	 8
29	25	 5	 9	25	 7	40	 4	31
42	43	 9	16	45	 1	 0	29	28
 3	12	 6	35	 3	 0	38	16	36
48	24	34	34	11	29	29	 1	 4
16	 7	19	31	29	35	12	26	15
43	38	28	15	36	26	21	 9	 3
19	11	42	28	16	11	47	 7	42
28	35	30	36	34	49	28	28	12
20	39	25	14	 4	39	24	30	38
49	16	36	29	 8	28	 9	32	45
 2	33	46	43	24	 6	 3	45	21
31	 9	 3	39	38	36	16	37	 5
15	20	45	 8	35	30	25	23	37
45	29	 1	47	39	42	23	12	48
25	 5	12	24	15	47	17	18	19
 5	41	23	41	47	24	48	40	17
17	17	15	49	 0	38	34	31	49
30	19	35	 0	12	20	14	 8	 6
22	14	 7	46	14	45	15	 2	33
32	10	29	42	49	12	 2	14	25
26	23	18	33	 6	34	10	27	40
46	37	47	19	 2	10	37	39	39
33	 0	43	37	42	41	27	35	47
 1	48	41	 2	 9	18	39	 6	24
 0	 2	24	40	21	48	18	24	27
23	34	40	21	27	 5	 6	36	18
44	27	 8	 7	41	17	 4	47	10
13	 4	14	38	 7	15	11	34	11
